#{"t_start": 1711376162.7088356, "env_id": "None"}
r,l,t
-64.89929,1000,26.338629
-64.819714,1000,52.860113
-71.075179,1000,78.743657
-69.199158,1000,104.669232
-19.840848,171,109.986836
-92.349326,1000,137.490581
-73.140124,1000,164.941183
-72.098339,1000,195.534227
-61.746402,1000,222.013695
-69.281792,1000,249.455679
-76.705337,1000,278.277007
-21.339753,177,283.426012
-56.861968,718,303.536461
-67.763897,1000,332.365011
-68.743108,1000,358.848026
-64.381619,1000,385.548479
-66.364464,1000,410.841586
-65.91218,1000,437.191784
-69.444836,1000,464.481808
-69.619313,1000,492.488304
-64.079189,1000,519.325755
-41.42686,538,533.305147
-72.199117,1000,560.153946
-62.226873,1000,588.204641
-54.164695,774,609.526969
-63.44173,1000,636.582135
-77.657539,1000,665.951616
-72.115708,1000,693.92355
-67.258047,1000,724.020199
-72.892928,933,751.508345
-58.526899,841,775.658238
-21.095493,209,781.576517
-69.582398,1000,812.23769
-43.61608,558,829.175923
-45.383015,677,851.329114
-47.233162,554,871.214599
-66.099147,1000,901.336267
